id,parent_id,neutron_id,x,y,z,dx,dy,dz,toa,wavelength,parentName,px,py,pz,parentEnergy,nx,ny,nz,neutronEnergy,x [px],y [px],t [s],nPhotons [1],PSD value,t_relToExtTrigger [s],time_diff_ns,x3,y3,delta_x,delta_y,delta_r
156,3,1,-32.4093,15.1646,20,0.0450885,-0.0518878,0.997635,815.974,479.372,,0.0,0.0,0.0,0.558407,-33.3107,16.1826,0.440309,2.01626,128.89,149.26,8.15625e-07,1.0,0.0, nan,,-0.4171874999999936,-9.965624999999996,32.8935125,-26.148224999999996,42.0203859482309
8099,2,3,54.3022,-25.7021,20,-0.0660398,0.00391558,0.997809,381.871,447.33,C12,57.4031,-23.3628,10.3007,2.32184,54.8222,-25.7431,13.2004,9.21395,128.97,149.07,3.8125e-07,3.0,1.041666666667e-09, nan,0.6209999999999809,-0.45468749999999947,-9.876562499999997,-55.2768875,15.866537500000002,57.50896716101379
8099,2,3,54.3022,-25.7021,20,-0.0660398,0.00391558,0.997809,381.871,447.33,C12,57.4031,-23.3628,10.3007,2.32184,54.8222,-25.7431,13.2004,9.21395,207.28,22.34,3.8125e-07,4.0,2.734375e-09, nan,0.6209999999999809,-37.1625,49.528124999999996,-91.9847,75.27122499999999,118.85681447477306
8099,2,3,54.3022,-25.7021,20,-0.0660398,0.00391558,0.997809,381.871,447.33,C12,57.4031,-23.3628,10.3007,2.32184,54.8222,-25.7431,13.2004,9.21395,206.31,21.7,3.8125e-07,1.0,0.0, nan,0.6209999999999809,-36.7078125,49.828125,-91.5300125,75.571225,118.69605400454887
6290,2,3,53.9096,-25.0345,20,-0.126125,0.102791,0.986675,382.696,439.589,C12,57.4031,-23.3628,10.3007,2.32184,54.8222,-25.7431,13.2004,9.21395,212.76,56.78,3.828125e-07,18.0,2.430555555556e-09, nan,0.11649999999997362,-39.731249999999996,33.384375,-94.55345,59.127475,111.51866752601613
6290,2,3,53.9096,-25.0345,20,-0.126125,0.102791,0.986675,382.696,439.589,C12,57.4031,-23.3628,10.3007,2.32184,54.8222,-25.7431,13.2004,9.21395,206.72,23.76,3.828125e-07,2.0,5.46875e-09, nan,0.11649999999997362,-36.9,48.8625,-91.7222,74.6056,118.23264153439185
6290,2,3,53.9096,-25.0345,20,-0.126125,0.102791,0.986675,382.696,439.589,C12,57.4031,-23.3628,10.3007,2.32184,54.8222,-25.7431,13.2004,9.21395,213.13,42.25,3.828125e-07,1.0,0.0, nan,0.11649999999997362,-39.904687499999994,40.1953125,-94.7268875,65.9384125,115.41688549973013
38,6,9,-16.8776,-54.5778,20,0.0247496,0.0548511,0.998188,1013.51,432.463,proton,-16.9234,-54.6775,18.1911,0.00063544,-16.9224,-54.6772,18.1908,1.33163,205.98,22.07,1.0140625e-06,1.0,0.0, nan,,-36.553124999999994,49.6546875,-19.630724999999995,104.3318875,106.16264933270213
1165,3,17,13.2489,35.554,20,-0.0741249,-0.115029,0.990593,962.864,444.919,proton,17.0915,-39.6933,7.24701,0.0296396,59.8631,29.0132,3.63617,1.43205,207.12,22.73,9.625e-07,2.0,3.90625e-09, nan,0.36399999999991905,-37.087500000000006,49.3453125,-96.95060000000001,20.332112499999997,99.05964687536826
381,3,17,13.9025,36.8132,20,-0.0358822,-0.0414166,0.998497,963.84,424.066,proton,17.0915,-39.6933,7.24701,0.0296396,59.8631,29.0132,3.63617,1.43205,206.29,22.11,9.640625e-07,2.0,1.5625e-09, nan,0.22249999999985448,-36.6984375,49.6359375,-96.5615375,20.622737499999996,98.73919093428815
