x [px],y [px],t [s],nPhotons [1],PSD value,t_relToExtTrigger [s],neutron_id
128.89,149.26,8.15625e-07,1.0,0.0, nan,1
128.97,149.07,3.8125e-07,3.0,1.041666666667e-09, nan,3
207.28,22.34,3.8125e-07,4.0,2.734375e-09, nan,3
206.31,21.7,3.8125e-07,1.0,0.0, nan,3
212.76,56.78,3.828125e-07,18.0,2.430555555556e-09, nan,3
206.72,23.76,3.828125e-07,2.0,5.46875e-09, nan,3
213.13,42.25,3.828125e-07,1.0,0.0, nan,3
205.98,22.07,1.0140625e-06,1.0,0.0, nan,9
207.12,22.73,9.625e-07,2.0,3.90625e-09, nan,17
206.29,22.11,9.640625e-07,2.0,1.5625e-09, nan,17
207.67,23.19,5.171875e-07,1.0,0.0, nan,19
136.94,179.17,4.390625e-07,1.0,0.0, nan,20
118.45,97.73,4.390625e-07,2.0,3.125e-09, nan,20
85.33,33.15,4.40625e-07,2.0,2.34375e-09, nan,20
152.1,164.24,4.4375e-07,1.0,0.0, nan,20
51.29,90.41,3.984375e-07,16.0,4.98046875e-09, nan,27
28.65,228.87,3.984375e-07,2.0,0.0, nan,27
137.26,178.41,3.984375e-07,2.0,3.90625e-09, nan,27
81.22,30.93,3.984375e-07,1.0,0.0, nan,27
73.14,113.98,4e-07,1.0,0.0, nan,27
74.73,114.27,4.015625e-07,1.0,0.0, nan,27
140.58,181.32,4.015625e-07,1.0,0.0, nan,27
130.48,185.39,4.015625e-07,2.0,1.5625e-09, nan,27
138.26,178.35,4.015625e-07,2.0,7.8125e-10, nan,27
217.93,221.72,4.171875e-07,1.0,0.0, nan,29
212.07,228.47,4.203125e-07,1.0,0.0, nan,29
217.4,222.55,3.875e-07,1.0,0.0, nan,30
110.34,39.05,3.875e-07,1.0,0.0, nan,30
161.23,136.25,3.9375e-07,2.0,1.5625e-09, nan,30
161.54,136.99,4.953125e-07,1.0,0.0, nan,35
153.0,186.59,4.953125e-07,1.0,0.0, nan,35
25.07,165.36,4.953125e-07,5.0,1.875e-09, nan,35
131.74,191.17,5e-07,1.0,0.0, nan,35
144.79,189.78,5.015625e-07,1.0,0.0, nan,35
33.06,155.72,5.03125e-07,1.0,0.0, nan,35
132.23,190.98,8.109375e-07,2.0,0.0, nan,37
219.62,117.6,3.75e-07,1.0,0.0, nan,40
131.84,191.36,3.75e-07,13.0,2.283653846154e-09, nan,40
88.44,231.27,3.75e-07,4.0,1.5625e-09, nan,40
215.61,44.01,3.75e-07,1.0,0.0, nan,40
190.61,74.41,3.75e-07,4.0,2.34375e-09, nan,40
99.78,219.86,3.765625e-07,1.0,0.0, nan,40
65.82,169.58,3.78125e-07,2.0,3.125e-09, nan,40
104.57,106.29,3.796875e-07,2.0,3.90625e-09, nan,40
158.35,33.75,3.796875e-07,1.0,0.0, nan,40
90.53,233.91,3.8125e-07,1.0,0.0, nan,40
139.63,183.41,3.8125e-07,1.0,0.0, nan,40
82.32,114.73,4.421875e-07,1.0,0.0, nan,43
161.01,159.69,4.421875e-07,1.0,0.0, nan,43
39.71,209.46,4.421875e-07,14.0,2.34375e-09, nan,43
215.56,43.79,4.421875e-07,4.0,2.734375e-09, nan,43
89.63,118.24,4.4375e-07,1.0,0.0, nan,43
214.87,45.21,4.4375e-07,1.0,0.0, nan,43
37.04,205.59,4.453125e-07,1.0,0.0, nan,43
88.1,108.92,4.46875e-07,1.0,0.0, nan,43
132.46,108.55,7.953125e-07,2.0,1.5625e-09, nan,47
156.7,174.29,6.046875e-07,3.0,2.604166666667e-09, nan,49
226.33,74.63,6.0625e-07,2.0,1.5625e-09, nan,49
228.0,74.17,6.0625e-07,2.0,4.6875e-09, nan,49
155.45,173.59,6.078125e-07,1.0,0.0, nan,49
156.26,173.75,6.921875e-07,1.0,0.0, nan,50
25.59,66.52,7.078125e-07,1.0,0.0, nan,50
182.09,156.17,5.28125e-07,1.0,0.0, nan,64
25.55,66.08,5.28125e-07,6.0,2.604166666667e-09, nan,64
184.26,155.17,5.296875e-07,4.0,2.34375e-09, nan,64
184.45,154.26,5.296875e-07,1.0,0.0, nan,64
156.61,157.2,5.328125e-07,1.0,0.0, nan,64
184.06,154.98,6.046875e-07,6.0,3.90625e-09, nan,75
187.44,151.69,6.0625e-07,1.0,0.0, nan,75
183.09,153.86,6.09375e-07,1.0,0.0, nan,75
184.16,155.08,4.328125e-07,1.0,0.0, nan,76
124.29,182.7,5.734375e-07,6.0,3.645833333333e-09, nan,77
124.09,182.42,4.953125e-07,2.0,1.5625e-09, nan,83
215.82,72.75,4.0625e-07,9.0,3.819444444444e-09, nan,86
216.04,72.6,4.0625e-07,12.0,1.171875e-09, nan,86
124.21,182.7,4.125e-07,1.0,0.0, nan,86
215.86,73.14,4.625e-07,1.0,0.0, nan,89
142.59,158.1,4.625e-07,2.0,0.0, nan,89
176.03,34.15,4.625e-07,2.0,2.34375e-09, nan,89
74.53,70.48,4.640625e-07,1.0,0.0, nan,89
161.6,129.96,4.671875e-07,1.0,0.0, nan,89
175.55,33.96,5.0625e-07,4.0,1.953125e-09, nan,90
175.64,33.5,8.15625e-07,2.0,3.90625e-09, nan,94
175.66,33.84,4.796875e-07,8.0,3.3203125e-09, nan,97
188.05,20.51,4.84375e-07,1.0,0.0, nan,97
226.44,51.2,5.3125e-07,1.0,0.0, nan,100
209.54,46.51,4.140625e-07,7.0,2.232142857143e-09, nan,106
124.41,182.4,4.140625e-07,4.0,1.171875e-09, nan,106
109.58,135.31,4.15625e-07,4.0,2.734375e-09, nan,106
39.7,44.01,4.15625e-07,2.0,1.5625e-09, nan,106
39.79,176.36,4.15625e-07,3.0,1.5625e-09, nan,106
60.9,176.2,4.15625e-07,5.0,3.125e-09, nan,106
104.09,49.5,4.15625e-07,4.0,1.171875e-09, nan,106
159.41,161.23,4.15625e-07,1.0,0.0, nan,106
223.45,165.71,4.15625e-07,4.0,2.34375e-09, nan,106
40.37,176.3,4.15625e-07,1.0,0.0, nan,106
38.17,44.54,4.1875e-07,1.0,0.0, nan,106
104.1,49.47,4.25e-07,1.0,0.0, nan,108
152.75,124.97,5.125e-07,1.0,0.0, nan,111
