pixel_x,pixel_y,toa2,photon_count,time_diff,id,neutron_id,pulse_id,pulse_time_ns
160,112,15329.157689703427,1,1.0,8944,8,3,15000.0
161,113,15329.157689703427,1,1.0,8944,8,3,15000.0
161,112,15329.157689703427,1,1.0,8944,8,3,15000.0
159,111,15329.157689703427,1,1.0,8944,8,3,15000.0
160,113,15329.157689703427,1,1.0,8944,8,3,15000.0
159,112,15329.157689703427,1,1.0,8944,8,3,15000.0
161,111,15329.157689703427,1,1.0,8944,8,3,15000.0
159,113,15329.157689703427,1,1.0,8944,8,3,15000.0
160,111,15329.157689703427,1,1.0,8944,8,3,15000.0
161,110,15330.354775713004,1,1.0,7737,8,3,15000.0
162,110,15330.354775713004,1,1.0,7737,8,3,15000.0
162,112,15330.354775713004,1,1.0,7737,8,3,15000.0
161,111,15330.354775713004,1,1.0,7737,8,3,15000.0
160,112,15330.354775713004,1,1.0,7737,8,3,15000.0
161,112,15330.354775713004,1,1.0,7737,8,3,15000.0
160,110,15330.354775713004,1,1.0,7737,8,3,15000.0
162,111,15330.354775713004,1,1.0,7737,8,3,15000.0
160,111,15330.354775713004,1,1.0,7737,8,3,15000.0
159,110,15331.925995666594,1,1.0,5348,8,3,15000.0
159,112,15331.925995666594,1,1.0,5348,8,3,15000.0
160,112,15331.925995666594,1,1.0,5348,8,3,15000.0
161,111,15331.925995666594,1,1.0,5348,8,3,15000.0
161,112,15331.925995666594,1,1.0,5348,8,3,15000.0
159,111,15331.925995666594,1,1.0,5348,8,3,15000.0
160,110,15331.925995666594,1,1.0,5348,8,3,15000.0
160,111,15331.925995666594,1,1.0,5348,8,3,15000.0
161,110,15331.925995666594,1,1.0,5348,8,3,15000.0
159,111,15351.073510743923,1,1.0,1044,8,3,15000.0
159,110,15351.073510743923,1,1.0,1044,8,3,15000.0
161,110,15351.073510743923,1,1.0,1044,8,3,15000.0
161,112,15351.073510743923,1,1.0,1044,8,3,15000.0
159,112,15351.073510743923,1,1.0,1044,8,3,15000.0
160,112,15351.073510743923,1,1.0,1044,8,3,15000.0
160,110,15351.073510743923,1,1.0,1044,8,3,15000.0
160,111,15351.073510743923,1,1.0,1044,8,3,15000.0
161,111,15351.073510743923,1,1.0,1044,8,3,15000.0
159,111,15355.082177439668,1,1.0,4790,8,3,15000.0
161,110,15355.082177439668,1,1.0,4790,8,3,15000.0
160,112,15355.082177439668,1,1.0,4790,8,3,15000.0
159,110,15355.082177439668,1,1.0,4790,8,3,15000.0
160,110,15355.082177439668,1,1.0,4790,8,3,15000.0
159,112,15355.082177439668,1,1.0,4790,8,3,15000.0
160,111,15355.082177439668,1,1.0,4790,8,3,15000.0
161,112,15355.082177439668,1,1.0,4790,8,3,15000.0
161,111,15355.082177439668,1,1.0,4790,8,3,15000.0
159,111,15367.28714495232,1,1.0,4950,8,3,15000.0
158,111,15367.28714495232,1,1.0,4950,8,3,15000.0
160,111,15367.28714495232,1,1.0,4950,8,3,15000.0
159,112,15367.28714495232,1,1.0,4950,8,3,15000.0
158,112,15367.28714495232,1,1.0,4950,8,3,15000.0
160,110,15367.28714495232,1,1.0,4950,8,3,15000.0
160,112,15367.28714495232,1,1.0,4950,8,3,15000.0
159,110,15367.28714495232,1,1.0,4950,8,3,15000.0
158,110,15367.28714495232,1,1.0,4950,8,3,15000.0
2,59,25290.590980794208,1,1.0,21522,16,5,25000.0
1,58,25290.590980794208,1,1.0,21522,16,5,25000.0
0,58,25290.590980794208,1,1.0,21522,16,5,25000.0
0,60,25290.590980794208,1,1.0,21522,16,5,25000.0
1,59,25290.590980794208,1,1.0,21522,16,5,25000.0
0,59,25290.590980794208,1,1.0,21522,16,5,25000.0
2,60,25290.590980794208,1,1.0,21522,16,5,25000.0
1,60,25290.590980794208,1,1.0,21522,16,5,25000.0
2,58,25290.590980794208,1,1.0,21522,16,5,25000.0
0,57,25292.367308876095,1,1.0,14594,16,5,25000.0
1,58,25292.367308876095,1,1.0,14594,16,5,25000.0
-1,59,25292.367308876095,1,1.0,14594,16,5,25000.0
1,59,25292.367308876095,1,1.0,14594,16,5,25000.0
0,59,25292.367308876095,1,1.0,14594,16,5,25000.0
-1,57,25292.367308876095,1,1.0,14594,16,5,25000.0
0,58,25292.367308876095,1,1.0,14594,16,5,25000.0
1,57,25292.367308876095,1,1.0,14594,16,5,25000.0
-1,58,25292.367308876095,1,1.0,14594,16,5,25000.0
0,58,25292.40106396922,1,1.0,19014,16,5,25000.0
-1,60,25292.40106396922,1,1.0,19014,16,5,25000.0
1,58,25292.40106396922,1,1.0,19014,16,5,25000.0
1,59,25292.40106396922,1,1.0,19014,16,5,25000.0
-1,59,25292.40106396922,1,1.0,19014,16,5,25000.0
-1,58,25292.40106396922,1,1.0,19014,16,5,25000.0
0,60,25292.40106396922,1,1.0,19014,16,5,25000.0
1,60,25292.40106396922,1,1.0,19014,16,5,25000.0
0,59,25292.40106396922,1,1.0,19014,16,5,25000.0
30,30,25292.851703728156,1,1.0,15419,16,5,25000.0
28,29,25292.851703728156,1,1.0,15419,16,5,25000.0
29,30,25292.851703728156,1,1.0,15419,16,5,25000.0
30,28,25292.851703728156,1,1.0,15419,16,5,25000.0
28,28,25292.851703728156,1,1.0,15419,16,5,25000.0
29,28,25292.851703728156,1,1.0,15419,16,5,25000.0
28,30,25292.851703728156,1,1.0,15419,16,5,25000.0
30,29,25292.851703728156,1,1.0,15419,16,5,25000.0
29,29,25292.851703728156,1,1.0,15419,16,5,25000.0
1,57,25293.19029822969,1,1.0,11491,16,5,25000.0
2,57,25293.19029822969,1,1.0,11491,16,5,25000.0
2,56,25293.19029822969,1,1.0,11491,16,5,25000.0
2,58,25293.19029822969,1,1.0,11491,16,5,25000.0
0,58,25293.19029822969,1,1.0,11491,16,5,25000.0
0,56,25293.19029822969,1,1.0,11491,16,5,25000.0
1,56,25293.19029822969,1,1.0,11491,16,5,25000.0
0,57,25293.19029822969,1,1.0,11491,16,5,25000.0
1,58,25293.19029822969,1,1.0,11491,16,5,25000.0
1,57,25294.44749081599,1,1.0,7278,16,5,25000.0
2,58,25294.44749081599,1,1.0,7278,16,5,25000.0
2,59,25294.44749081599,1,1.0,7278,16,5,25000.0
1,58,25294.44749081599,1,1.0,7278,16,5,25000.0
0,57,25294.44749081599,1,1.0,7278,16,5,25000.0
1,59,25294.44749081599,1,1.0,7278,16,5,25000.0
2,57,25294.44749081599,1,1.0,7278,16,5,25000.0
0,58,25294.44749081599,1,1.0,7278,16,5,25000.0
0,59,25294.44749081599,1,1.0,7278,16,5,25000.0
0,59,25294.9946291986,1,1.0,24539,16,5,25000.0
1,59,25294.9946291986,1,1.0,24539,16,5,25000.0
2,57,25294.9946291986,1,1.0,24539,16,5,25000.0
1,58,25294.9946291986,1,1.0,24539,16,5,25000.0
2,58,25294.9946291986,1,1.0,24539,16,5,25000.0
0,58,25294.9946291986,1,1.0,24539,16,5,25000.0
1,57,25294.9946291986,1,1.0,24539,16,5,25000.0
2,59,25294.9946291986,1,1.0,24539,16,5,25000.0
0,57,25294.9946291986,1,1.0,24539,16,5,25000.0
0,59,25295.377031705393,1,1.0,9084,16,5,25000.0
1,59,25295.377031705393,1,1.0,9084,16,5,25000.0
0,57,25295.377031705393,1,1.0,9084,16,5,25000.0
1,57,25295.377031705393,1,1.0,9084,16,5,25000.0
2,59,25295.377031705393,1,1.0,9084,16,5,25000.0
1,58,25295.377031705393,1,1.0,9084,16,5,25000.0
2,57,25295.377031705393,1,1.0,9084,16,5,25000.0
2,58,25295.377031705393,1,1.0,9084,16,5,25000.0
0,58,25295.377031705393,1,1.0,9084,16,5,25000.0
1,58,25295.477848852785,1,1.0,14009,16,5,25000.0
0,59,25295.477848852785,1,1.0,14009,16,5,25000.0
-1,58,25295.477848852785,1,1.0,14009,16,5,25000.0
-1,59,25295.477848852785,1,1.0,14009,16,5,25000.0
1,59,25295.477848852785,1,1.0,14009,16,5,25000.0
0,60,25295.477848852785,1,1.0,14009,16,5,25000.0
1,60,25295.477848852785,1,1.0,14009,16,5,25000.0
0,58,25295.477848852785,1,1.0,14009,16,5,25000.0
-1,60,25295.477848852785,1,1.0,14009,16,5,25000.0
1,57,25295.953801071268,1,1.0,11823,16,5,25000.0
2,58,25295.953801071268,1,1.0,11823,16,5,25000.0
2,59,25295.953801071268,1,1.0,11823,16,5,25000.0
1,59,25295.953801071268,1,1.0,11823,16,5,25000.0
3,59,25295.953801071268,1,1.0,11823,16,5,25000.0
3,58,25295.953801071268,1,1.0,11823,16,5,25000.0
2,57,25295.953801071268,1,1.0,11823,16,5,25000.0
3,57,25295.953801071268,1,1.0,11823,16,5,25000.0
1,58,25295.953801071268,1,1.0,11823,16,5,25000.0
